namespace,app/path,pvc,workload claimName refs,storageClass,size,accessModes,current dataSourceRef,expected RD,current RD,expected RS,current RS,repo secret / ClusterES,backup identity,mover UID,mover GID,mover fsGroup,schedule,tier,restore-policy / mode,pvc-plumber.io/enabled,pvc-plumber.io/tier,pvc-plumber.io/mode,classification,migration recommendation,blockers,notes
comfyui,my-apps/ai/comfyui,comfyui-storage,Deployment/comfyui,nfs-comfyui-10g,250Gi,ReadWriteMany,,comfyui-storage-dst,,comfyui-storage,,,comfyui/comfyui-storage,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
frigate,my-apps/home/frigate,frigate-media,Deployment/frigate,frigate-smb,1Ti,ReadWriteMany,,frigate-media-dst,,frigate-media,,,frigate/frigate-media,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
frigate,my-apps/home/frigate,mosquitto-storage-pvc,Deployment/mosquitto,longhorn,5Gi,ReadWriteOnce,,mosquitto-storage-pvc-dst,,mosquitto-storage-pvc,,,frigate/mosquitto-storage-pvc,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
gitea-actions,my-apps/development/gitea-actions,act-runner-docker-cache,Deployment/act-runner,longhorn,50Gi,ReadWriteOnce,,act-runner-docker-cache-dst,,act-runner-docker-cache,,,gitea-actions/act-runner-docker-cache,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
immich,my-apps/media/immich,immich-ml-cache,Deployment/immich-machine-learning,longhorn,20Gi,ReadWriteOnce,,immich-ml-cache-dst,,immich-ml-cache,,,immich/immich-ml-cache,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
immich,my-apps/media/immich,nfs-photos,"Deployment/immich-machine-learning, Deployment/immich-server",,2Ti,ReadOnlyMany,,nfs-photos-dst,,nfs-photos,,,immich/nfs-photos,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
jellyfin,my-apps/media/jellyfin,jellyfin-media,Deployment/jellyfin,,1Gi,ReadWriteMany,,jellyfin-media-dst,,jellyfin-media,,,jellyfin/jellyfin-media,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
kiwix,my-apps/media/kiwix,kiwix-data,Deployment/kiwix,kiwix-smb,100Gi,ReadWriteMany,,kiwix-data-dst,,kiwix-data,,,kiwix/kiwix-data,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
llama-cpp,my-apps/ai/llama-cpp,llama-cpp-models-pvc,Deployment/llama-cpp-server,nfs-llama-cpp-10g,150Gi,ReadWriteMany,,llama-cpp-models-pvc-dst,,llama-cpp-models-pvc,,,llama-cpp/llama-cpp-models-pvc,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
paperless-ngx,my-apps/home/paperless-ngx,paperless-consume-pvc,Deployment/paperless-ngx,longhorn,10Gi,ReadWriteOnce,,paperless-consume-pvc-dst,,paperless-consume-pvc,,,paperless-ngx/paperless-consume-pvc,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
paperless-ngx,my-apps/home/paperless-ngx,paperless-export-pvc,Deployment/paperless-ngx,longhorn,10Gi,ReadWriteOnce,,paperless-export-pvc-dst,,paperless-export-pvc,,,paperless-ngx/paperless-export-pvc,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
posthog,my-apps/development/posthog,clickhouse-data-clickhouse-0,Deployment/clickhouse,longhorn,100Gi,ReadWriteOnce,,clickhouse-data-clickhouse-0-dst,,clickhouse-data-clickhouse-0,,,posthog/clickhouse-data-clickhouse-0,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
project-nomad,my-apps/home/project-nomad,embeddings-model-cache,Deployment/embeddings,,2Gi,ReadWriteOnce,,embeddings-model-cache-dst,,embeddings-model-cache,,,project-nomad/embeddings-model-cache,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
project-nomad,my-apps/home/project-nomad,protomaps-data,Deployment/protomaps,longhorn,20Gi,ReadWriteOnce,,protomaps-data-dst,,protomaps-data,,,project-nomad/protomaps-data,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
project-zomboid,my-apps/home/project-zomboid,zomboid-server-files,Deployment/project-zomboid,longhorn,60Gi,ReadWriteOnce,,zomboid-server-files-dst,,zomboid-server-files,,,project-zomboid/zomboid-server-files,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
radar-ng,my-apps/development/radar-ng,grids,Deployment/tile-server,longhorn,20Gi,ReadWriteMany,,grids-dst,,grids,,,radar-ng/grids,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
radar-ng,my-apps/development/radar-ng,openmeteo-data,Deployment/open-meteo,longhorn,30Gi,ReadWriteMany,,openmeteo-data-dst,,openmeteo-data,,,radar-ng/openmeteo-data,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
radar-ng,my-apps/development/radar-ng,pmtiles,"Deployment/basemap, Job/basemap-bootstrap",longhorn,50Gi,ReadWriteMany,,pmtiles-dst,,pmtiles,,,radar-ng/pmtiles,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
