id,host,device,model,bytes,role,path,action,note,sampleSeconds
sff-sda,sff,sda,PNY CS900 1TB SSD,1000204886016,Control-plane storage,PNY → hp-sff-cp → VM101 scsi0 100GiB → Talos .79 sda6 → etcd,Upgrade first,"Etcd fsync p99 43.8ms; worst sampled 59.9ms/24h. Dedicated disk, not a capacity shortage.",120
sff-sdb,sff,sdb,PNY CS900 1TB SSD,1000204886016,Proxmox + SFF worker,PNY → pve → VM100 scsi0 128GiB + scsi1 690GiB → Talos .150 boot + Longhorn,Keep / plan data tier,Worker boot and persistent state share this physical drive. 480GB cannot hold the existing 818GiB guest layout.,120
elite-nvme1n1,elite,nvme1n1,INTEL SSDPEKNW512G8,512110190592,Elite application data + PDM,Intel → hp-elite-vmstore → VM100 scsi1 440GiB + CT101 rootfs10GiB → Longhorn + PDM .151,Replace soon,"74% rated endurance consumed. No media errors. 480GB is ~447GiB, smaller than the current 450GiB combined allocations.",120
elite-nvme0n1,elite,nvme0n1,WDC PC SN530 SDBPMPZ-256G-1101,256060514304,Proxmox + Elite boot,WD → pve thin pool → VM100 scsi0 128GiB → Talos .172 sda6,Keep / watch power,"1% endurance used, zero media errors; 3,074 historical unsafe shutdowns need a trend, not a failure verdict.",120
gpu-sda,gpu,sda,PNY CS900 1TB SSD,1000204886016,Proxmox boot,PNY → pve root + mostly unused thin pool,Keep,Quiet physical boot drive; the busy GPU VM boot disk is a different NVMe.,120
gpu-sdb,gpu,sdb,MK000480GWCEV,480103981056,Enterprise mirror member A,HPE sdb + sdc → md0 RAID1 → ssd-ent → VM103 scsi2 300GiB + scsi3 120GiB,Keep mirror intact,No reallocations; physical mirror averaged ~0.15–0.16ms write completion in sample. One chassis remains one failure domain.,120
gpu-sdc,gpu,sdc,MK000480GWCEV,480103981056,Enterprise mirror member B,HPE sdb + sdc → md0 RAID1 → ssd-ent → VM103 scsi2 300GiB + scsi3 120GiB,Keep mirror intact,"300GiB mounts as Longhorn flash. Extra 120GiB device exists, with no active Talos-managed mount observed; do not erase without tracing ownership.",120
gpu-nvme0n1,gpu,nvme0n1,EDILOCA EN605 512GB,512110190592,AI model cache,EDILOCA nvme0n1 → VG nvme1-vmstore → VM103 scsi1 450GiB → Talos sdb1 /var/mnt/ai-model-cache,Keep,20% endurance used; nearly idle during the read storm. VG names do not match current Linux NVMe numbers.,120
gpu-nvme1n1,gpu,nvme1n1,EDILOCA EN605 512GB,512110190592,GPU VM boot + ephemeral + some Longhorn,EDILOCA nvme1n1 → VG nvme0-vmstore → VM103 scsi0 450GiB → Talos sda4 /var,Repair workload first,"14% endurance used, zero media errors. 82% busy,53ms average reads,queue587 caused by recovery CLI reclaim storm; no proven hardware failure.",120
dell-sda,dell,sda,Samsung SSD 850 EVO 500GB,500107862016,Dell Longhorn data,Samsung → dell-ssd-vmstore → VM100 scsi1 400GiB → Talos .177 sdb1,Watch / demote role,"74,175h; normalized wear value71; zero reallocations/uncorrected. CRC8,162 unchanged from Sep5. Retire sole important copies before trusting this temporary host.",120
dell-sdb,dell,sdb,APPLE SSD SM0256G,251000193024,Proxmox + Dell boot,Apple → pve → VM100 scsi0 128GiB → Talos .177 sda6,Keep / inspect adapter,"34,865h; zero reallocations or pending sectors. Adapter reliability is an owner concern, not a measured current cable fault.",120
shed-sda,shed,sda,PNY CS900 1TB SSD,1000204886016,Shed data device,PNY → hp-ssd-vmstore → VM100 scsi1 850GiB → Talos .156 sdb1,Reuse candidate,Longhorn disk scheduling disabled; zero replicas. About17.6GB filesystem use remains to classify before moving the drive.,120
shed-nvme0n1,shed,nvme0n1,SK hynix BC501 HFM256GDJTNG-8310A,256060514304,Proxmox + edge worker boot,Hynix → pve → VM100 scsi0 128GiB → Talos .156 sda6,Keep,4% endurance used; zero media errors. Keep quorum and required replicas off this Wi-Fi-dependent host.,120
nas-sda,nas,sda,Samsung SSD 860 EVO 1TB,1000204886016,AI pool stripe member,Samsung860 → ai-pool top-level vdev → model/cache/proxmox-flash datasets,Keep / classify pool,No redundancy across the three SSD vdevs. CRC4 historical; do not pull one as a spare.,120
nas-sdb,nas,sdb,T-FORCE 512GB,512110190592,NAS boot mirror member,T-FORCE + HPE → boot-pool mirror,Keep,Live boot member. Vendor-specific wear fields are not a validated lifetime forecast.,120
nas-sdc,nas,sdc,MK000480GWCEV,480103981056,NAS boot mirror member,HPE + T-FORCE → boot-pool mirror,Keep,Third HPE enterprise SSD in the lab. It is not spare; replacement/resilver required before any reuse.,120
nas-sdd,nas,sdd,P3-512,512110190592,AI pool stripe member,P3-512 → ai-pool top-level vdev,Keep / classify pool,No pending or uncorrectable sectors reported; manufacturer wear raw value is not treated as a percent.,120
nas-sde,nas,sde,HP SSD S700 500GB,500107862016,AI pool stripe member,HP S700 → ai-pool top-level vdev,Inspect / watch,"46°C, CRC816 historical, raw runtime-bad-block16 with zero reallocations/uncorrected; trend and inspect links. Not alone a failure diagnosis.",120
nas-sdf,nas,sdf,ST10000NM0096,10000831348736,Secondary local backup pool,Seagate10TB → Backup10T single-disk vdev,Keep / recovery boundary,"57,533h; zero grown defects and uncorrected reads/writes. Shares NAS appliance/power failure domain.",120
nas-sdg,nas,sdg,HUH721010AL4200,10000831348736,BigTank mirror0 member,HGST10TB sdg + sdi → BigTank mirror0,Keep,38°C; zero grown defects and uncorrected errors.,120
nas-sdh,nas,sdh,HUH721010AL4200,10000831348736,BigTank mirror1 member,HGST10TB sdj + sdh → BigTank mirror1,Inspect cooling,54°C; zero grown defects and uncorrected errors. Inspect external-drive airflow and trend during scrubs.,120
